Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2019000054201,02/12/2019,1719,02/12/2019,1815,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DOWNTOWN COMMERCIAL
2019000054202,02/10/2019,1700,02/12/2019,1859,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E2,CAPITOL HILL
2019000054205,02/12/2019,1700,02/12/2019,1829,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,U,U3,ROOSEVELT/RAVENNA
2019000054221,02/12/2019,1743,02/12/2019,1953,DUI,DUI-LIQUOR,NORTH,N,N3,NORTHGATE
2019000054231,02/05/2019,1200,02/12/2019,1754,CAR PROWL,THEFT-LICENSE PLATE,SOUTHWEST,W,W3,MORGAN
2019000054236,02/10/2019,1756,02/12/2019,1756,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,U,U2,UNIVERSITY
2019000054245,02/12/2019,1234,02/12/2019,1803,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,K,K1,DOWNTOWN COMMERCIAL
2019000054253,02/08/2019,1800,02/12/2019,1821,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S2,BRIGHTON/DUNLAP
2019000054260,02/12/2019,1828,02/12/2019,1854,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,E,E2,CAPITOL HILL
2019000054269,02/12/2019,1700,02/12/2019,1838,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E3,FIRST HILL
2019000054270,02/12/2019,1839,02/12/2019,2240,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
2019000054277,02/12/2019,2140,02/12/2019,2140,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,C,C1,CAPITOL HILL
2019000054281,02/12/2019,1854,02/12/2019,1854,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U3,ROOSEVELT/RAVENNA
201900005430,01/04/2019,2059,01/04/2019,2059,TRESPASS,TRESPASS,NORTH,L,L3,LAKECITY
2019000054309,02/12/2019,1927,02/12/2019,2137,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2019000054315,02/12/2019,1935,02/12/2019,1935,AGGRAVATED ASSAULT,ASSLT-AGG-GUN,NORTH,L,L1,LAKECITY
2019000054329,02/12/2019,1955,02/12/2019,1955,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DOWNTOWN COMMERCIAL
2019000054351,02/12/2019,2015,02/12/2019,2024,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,M,M3,DOWNTOWN COMMERCIAL
2019000054365,02/12/2019,2037,02/12/2019,2037,FAMILY OFFENSE-NONVIOLENT,CHILD-ENDANGERMENT,EAST,G,G2,MADRONA/LESCHI
2019000054374,02/12/2019,2043,02/12/2019,2043,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,SOUTH,S,S1,NEW HOLLY
2019000054379,02/12/2019,2118,02/12/2019,2118,TRESPASS,TRESPASS,WEST,Q,Q3,QUEEN ANNE
2019000054383,02/12/2019,2103,02/12/2019,2103,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U3,ROOSEVELT/RAVENNA
2019000054423,02/12/2019,2158,02/12/2019,2158,SEX OFFENSE-OTHER,SEXOFF-INDECENT EXPOSURE,EAST,E,E1,CAPITOL HILL
2019000054425,02/12/2019,2200,02/12/2019,2202,AGGRAVATED ASSAULT,ASSLT-AGG-WEAPON,WEST,K,K1,DOWNTOWN COMMERCIAL
2019000054429,02/12/2019,2130,02/12/2019,2208,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W2,ALASKA JUNCTION
201900005443,01/04/2019,1830,01/04/2019,2119,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G3,JUDKINS PARK/NORTH BEACON HILL
2019000054430,02/12/2019,2211,02/12/2019,2211,NARCOTIC,NARC-EQUIPMENT/PARAPHENALIA,EAST,C,C3,CENTRAL AREA/SQUIRE PARK
2019000054453,02/10/2019,1630,02/12/2019,57,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S3,RAINIER BEACH
2019000054457,02/12/2019,2253,02/12/2019,2253,TRESPASS,TRESPASS,NORTH,J,J2,BALLARD NORTH
2019000054462,02/12/2019,2309,02/12/2019,2309,DUI,DUI-LIQUOR,SOUTHWEST,F,F3,HIGHLAND PARK
2019000054472,02/12/2019,2336,02/12/2019,2336,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,SOUTH,O,O3,GEORGETOWN
2019000054477,02/12/2019,2230,02/12/2019,2326,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R2,MOUNT BAKER
2019000054486,02/12/2019,2353,02/13/2019,227,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M3,DOWNTOWN COMMERCIAL
2019000054501,02/12/2019,2028,02/12/2019,2028,FAMILY OFFENSE-NONVIOLENT,CHILD-OTHER,NORTH,B,B2,FREMONT
2019000054506,02/13/2019,31,02/13/2019,31,TRESPASS,TRESPASS,EAST,G,G3,JUDKINS PARK/NORTH BEACON HILL
2019000054517,02/13/2019,103,02/13/2019,157,TRESPASS,TRESPASS,EAST,E,E1,CAPITOL HILL
2019000054543,02/13/2019,217,02/13/2019,217,TRESPASS,TRESPASS,WEST,M,M2,DOWNTOWN COMMERCIAL
2019000054549,02/01/2019,1,02/13/2019,228,CAR PROWL,THEFT-LICENSE PLATE,WEST,Q,Q1,MAGNOLIA
2019000054557,02/13/2019,253,02/13/2019,621,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,EAST,G,G3,MADRONA/LESCHI
2019000054560,02/13/2019,302,02/13/2019,302,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,L,L1,NORTHGATE
2019000054570,02/13/2019,335,02/13/2019,819,NARCOTIC,NARC-POSSESS-COCAINE,EAST,C,C3,MADRONA/LESCHI
2019000054584,02/13/2019,425,02/13/2019,434,TRESPASS,TRESPASS,WEST,M,M1,DOWNTOWN COMMERCIAL
2019000054594,02/13/2019,500,02/13/2019,518,CAR PROWL,THEFT-CARPROWL,NORTH,N,N2,NORTHGATE
2019000054600,02/12/2019,1730,02/13/2019,532,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,SOUTH,R,R3,COLUMBIA CITY
2019000054604,02/12/2019,2330,02/13/2019,544,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,U,U1,UNIVERSITY
2019000054614,02/12/2019,0,02/13/2019,606,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U1,ROOSEVELT/RAVENNA
