DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
"100101074,06/17/2010,06/17/2010,2250,01,Central,0182,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,0,M,H,203,OTHER BUSINESS,,,AA,Adult Arrest,740,,,,1100 S  OLIVE                        ST,,""(34.0409, -118.2609)"""
"100101075,06/19/2010,06/17/2010,2100,01,Central,0192,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329 1300 1402,25,M,H,122,""VEHICLE, PASSENGER/TRUCK"",,,IC,Invest Cont,740,998,,,15TH,OLIVE,""(34.0359, -118.2648)"""
"100101093,06/22/2010,06/22/2010,0300,01,Central,0152,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,56,M,H,101,STREET,,,IC,Invest Cont,740,,,,HILL                         ST,6TH                          ST,""(34.0474, -118.2531)"""
"100101095,06/23/2010,06/17/2010,2100,01,Central,0162,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,M,H,101,STREET,,,IC,Invest Cont,745,,,,9TH                          ST,FLOWER                       ST,""(34.0458, -118.2614)"""
"100101179,07/06/2010,07/06/2010,1500,01,Central,0111,330,BURGLARY FROM VEHICLE,0344 0358 1251 1307 1402 1609,25,F,O,101,STREET,,,IC,Invest Cont,330,998,,,NEW DEPOT                    ST,ALPINE                       ST,""(34.0639, -118.2446)"""
"100101206,07/12/2010,07/12/2010,1300,01,Central,0132,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329 1300,35,F,W,122,""VEHICLE, PASSENGER/TRUCK"",,,IC,Invest Cont,740,,,,800 W  1ST                          ST,,""(34.0571, -118.2509)"""
"100101209,07/13/2010,07/13/2010,1240,01,Central,0111,623,BATTERY POLICE (SIMPLE),0400 0416 1212 1402,0,M,H,102,SIDEWALK,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,623,998,,,HILL                         ST,COLLEGE,""(34.065, -118.2384)"""
"100101225,07/15/2010,07/15/2010,2040,01,Central,0174,946,OTHER MISCELLANEOUS CRIME,0906 1212 1402,9,M,H,101,STREET,,,AA,Adult Arrest,946,998,,,700 S  MAIN                         ST,,""(34.0439, -118.2514)"""
"100101237,07/15/2010,07/15/2010,1930,01,Central,0162,220,ATTEMPTED ROBBERY,0400,0,M,W,102,SIDEWALK,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,220,,,,HILL                         ST,7TH                          ST,""(34.0445, -118.2558)"""
"100101244,07/16/2010,07/16/2010,2200,01,Central,0166,230,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",0400 0416 0417 0429 1402,24,F,W,101,STREET,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,230,998,,,SAN JULIAN                   ST,6TH                          ST,""(34.0428, -118.2461)"""
